,family_id,members_num,family_lv,active_score,dt
283,-859561675,16.0,3.0,2775.0,20221104
284,-1005484406,19.0,3.0,319.0,20221104
285,861579989,45.0,1.0,723.0,20221104
286,1426314799,25.0,1.0,18.0,20221104
287,1673448478,36.0,1.0,3787.0,20221104
288,-1370774519,25.0,1.0,36.0,20221104
289,-885515199,40.0,1.0,1559.0,20221104
290,876810205,5.0,1.0,1283.0,20221104
291,671859260,25.0,1.0,14.0,20221104
292,-1300028736,18.0,1.0,532.0,20221104
293,825848618,32.0,3.0,597.0,20221104
294,-1816904444,48.0,1.0,1445.0,20221104
295,-401908987,25.0,5.0,1510.0,20221104
296,1538971802,15.0,1.0,1171.0,20221104
297,-611191526,4.0,3.0,5013.0,20221104
298,-1522277400,47.0,1.0,4389.0,20221104
299,1859755380,50.0,1.0,1876.0,20221104
300,398745204,28.0,5.0,1811.0,20221104
301,-2018870140,44.0,1.0,3348.0,20221104
302,-204602547,40.0,1.0,577.0,20221104
303,1148386132,60.0,11.0,454.0,20221104
304,1926103232,12.0,1.0,281.0,20221104
305,-270693508,18.0,1.0,1543.0,20221104
306,1225025688,12.0,1.0,1073.0,20221104
307,970952198,43.0,1.0,3415.0,20221104
308,2093345486,37.0,1.0,3748.0,20221104
309,12767919,33.0,1.0,1018.0,20221104
310,-1400266201,40.0,1.0,9.0,20221104
311,739280120,19.0,3.0,5142.0,20221104
312,-1541356588,24.0,1.0,229.0,20221104
313,-591469495,9.0,1.0,383.0,20221104
314,-555367812,1.0,1.0,338.0,20221104
315,-1567960550,5.0,1.0,847.0,20221104
316,-543814059,1.0,1.0,33.0,20221104
317,1787938876,37.0,1.0,2441.0,20221104
318,-775630456,22.0,1.0,1053.0,20221104
319,1573718085,15.0,1.0,72.0,20221104
320,-1277091372,24.0,1.0,108.0,20221104
321,-1985371074,43.0,1.0,1096.0,20221104
322,1825884401,10.0,1.0,996.0,20221104
323,1913745097,3.0,1.0,237.0,20221104
324,1966072207,1.0,1.0,16.0,20221104
325,-794042577,47.0,1.0,224.0,20221104
326,167771348,7.0,1.0,78.0,20221104
327,-1476500089,31.0,1.0,2098.0,20221104
328,1217120759,3.0,1.0,67.0,20221104
329,-1930403464,68.0,11.0,4181.0,20221104
330,442339644,21.0,1.0,102.0,20221104
331,-354151857,26.0,1.0,2435.0,20221104
332,-1626388560,45.0,1.0,71.0,20221104
333,1576136385,19.0,9.0,2436.0,20221104
334,-1189557716,19.0,3.0,367.0,20221104
335,1749694601,23.0,7.0,337.0,20221104
336,1535547369,39.0,3.0,1936.0,20221104
337,2053749048,10.0,1.0,881.0,20221104
338,-1273992237,71.0,11.0,7223.0,20221104
339,-674671092,12.0,1.0,24.0,20221104
340,103226783,34.0,1.0,2518.0,20221104
341,-1011958969,44.0,1.0,638.0,20221104
342,1025650926,44.0,1.0,261.0,20221104
